term,label,mixed_model_odds_ratio,mixed_model_conf_low,mixed_model_conf_high,mixed_model_wald_p_value,mixed_model_bh_p_value,cluster_robust_log_odds,cluster_robust_standard_error,cluster_robust_p_value,cluster_robust_odds_ratio,cluster_robust_conf_low,cluster_robust_conf_high,sensitivity_model,interpretation
z_maple_ba,Established sugar-maple basal area,0.9012670465910811,0.7499198370774001,1.083158824597373,0.2677303638063777,0.31139488012696653,-0.09468189313286268,0.09424360988636284,0.3150651542078986,0.9096622582589772,0.7562403921724259,1.0942095035729749,fixed-effect logistic regression with county-cluster CR1 sandwich covariance,"Cluster-robust estimates are a sensitivity analysis, not replacements for the county mixed model"
maple_sapling_presentTRUE,Sugar-maple saplings present,0.3255679555539225,0.2363586820767191,0.44844764216935495,6.487433368834569e-12,6.487433368834569e-11,-1.2033836876443202,0.1959634631780125,8.207722954070683e-10,0.30017678707347883,0.20444321531921714,0.4407390255385349,fixed-effect logistic regression with county-cluster CR1 sandwich covariance,"Cluster-robust estimates are a sensitivity analysis, not replacements for the county mixed model"
z_nonmaple_ba,Non-maple basal area,1.29120432484515,1.0656044052460478,1.564566175112481,0.00909401776267654,0.02163663265140524,0.15060657297899097,0.09697718164387184,0.12042064677422233,1.1625391937664997,0.9613033968029733,1.405900968973964,fixed-effect logistic regression with county-cluster CR1 sandwich covariance,"Cluster-robust estimates are a sensitivity analysis, not replacements for the county mixed model"
z_microplot_coverage,Microplot condition coverage,0.6443719765018383,0.5530825381397116,0.7507292591399803,1.716963051436564e-8,8.58481525718282e-8,-0.4064619035207122,0.058215632066622,2.9099430201066735e-12,0.6660024674819807,0.5941862564585835,0.7464987314512284,fixed-effect logistic regression with county-cluster CR1 sandwich covariance,"Cluster-robust estimates are a sensitivity analysis, not replacements for the county mixed model"
treatedTRUE,Recorded treatment,0.5241891274375087,0.3189752436798963,0.8614281100744076,0.01081831632570262,0.02163663265140524,-0.5535727015829857,0.22267102169198735,0.012916752054316066,0.5748922186488804,0.37157673393914936,0.88945575133118,fixed-effect logistic regression with county-cluster CR1 sandwich covariance,"Cluster-robust estimates are a sensitivity analysis, not replacements for the county mixed model"
z_stand_age,Stand age,0.9319493381431679,0.7890460515589107,1.1007336861385253,0.40662231766441437,0.40662231766441437,-0.06518135563442688,0.08132245595984562,0.42283223068002845,0.936897536322162,0.798859302709138,1.098787972537553,fixed-effect logistic regression with county-cluster CR1 sandwich covariance,"Cluster-robust estimates are a sensitivity analysis, not replacements for the county mixed model"
disturbedTRUE,Recorded disturbance,1.3077679390758008,0.8957637710071182,1.9092723303061305,0.16458940078717124,0.23512771541024463,0.4030978414584749,0.1901197145233182,0.03398651212363139,1.4964532996744588,1.0309390111502963,2.17216775569288,fixed-effect logistic regression with county-cluster CR1 sandwich covariance,"Cluster-robust estimates are a sensitivity analysis, not replacements for the county mixed model"
z_mean_temp,Mean annual temperature,1.7251865708866319,1.3498663922484646,2.2048616970232304,1.3201356316936486e-5,4.4004521056454955e-5,0.5865516027703968,0.09966925761701033,3.9810176599365725e-9,1.7977782604385155,1.478759332664328,2.1856204740781755,fixed-effect logistic regression with county-cluster CR1 sandwich covariance,"Cluster-robust estimates are a sensitivity analysis, not replacements for the county mixed model"
z_precip,Annual precipitation,0.7980067802122947,0.6217424775345969,1.024242100668372,0.0764163283701294,0.127360547283549,-0.18663970134345362,0.10909395173437682,0.0871150456932851,0.8297426376929407,0.6700118248828533,1.0275532747888638,fixed-effect logistic regression with county-cluster CR1 sandwich covariance,"Cluster-robust estimates are a sensitivity analysis, not replacements for the county mixed model"
z_year,Measurement year,0.9174184270769117,0.7845481173661416,1.0727915238211974,0.28025539211426986,0.31139488012696653,-0.08991163921198939,0.06532008012084609,0.16867376036901788,0.914011944518869,0.8041763896802396,1.0388489956231455,fixed-effect logistic regression with county-cluster CR1 sandwich covariance,"Cluster-robust estimates are a sensitivity analysis, not replacements for the county mixed model"
